"taxnum","arrest_count","arrest_type"
"968913","17","MISDEMEANOR"
"959436","47","FELONY"
"959436","72","MISDEMEANOR"
"968209","7","FELONY"
"968209","14","MISDEMEANOR"
"948587","30","FELONY"
"948587","79","MISDEMEANOR"
"948587","7","VIOLATION"
"937938","93","FELONY"
"937938","143","MISDEMEANOR"
"937938","1","VIOLATION"
"970367","7","MISDEMEANOR"
"966417","7","FELONY"
"966417","16","MISDEMEANOR"
"969450","5","FELONY"
"969450","17","MISDEMEANOR"
"960125","1","FELONY"
"960125","20","MISDEMEANOR"
"957313","13","FELONY"
"957313","41","MISDEMEANOR"
"957313","3","VIOLATION"
"945455","90","FELONY"
"945455","227","MISDEMEANOR"
"945455","18","VIOLATION"
"968914","12","FELONY"
"968914","30","MISDEMEANOR"
"968915","12","FELONY"
"968915","16","MISDEMEANOR"
"907685","2","INFRACTION"
"907685","12","FELONY"
"907685","47","MISDEMEANOR"
"907685","1","OTHER"
"907685","2","VIOLATION"
"949961","1","INFRACTION"
"949961","10","FELONY"
"949961","35","MISDEMEANOR"
"949961","11","VIOLATION"
"973199",NA,NA
"931513","4","FELONY"
"931513","145","MISDEMEANOR"
"931513","4","VIOLATION"
"946719","1","INFRACTION"
"946719","142","FELONY"
"946719","385","MISDEMEANOR"
"946719","1","OTHER"
"946719","4","VIOLATION"
"896914","3","INFRACTION"
"896914","560","FELONY"
"896914","546","MISDEMEANOR"
"896914","17","OTHER"
"896914","4","VIOLATION"
"969451","3","FELONY"
"969451","5","MISDEMEANOR"
"969451","1","VIOLATION"
"962911","3","FELONY"
"962911","9","MISDEMEANOR"
"971782","2","FELONY"
"971782","8","MISDEMEANOR"
"924863","1","INFRACTION"
"924863","22","FELONY"
"924863","206","MISDEMEANOR"
"924863","2","OTHER"
"924863","2","VIOLATION"
"961593","1","INFRACTION"
"961593","7","FELONY"
"961593","31","MISDEMEANOR"
"963355","25","FELONY"
"963355","72","MISDEMEANOR"
"939841","1","INFRACTION"
"939841","84","FELONY"
"939841","280","MISDEMEANOR"
"939841","9","VIOLATION"
"949964","1","INFRACTION"
"949964","12","FELONY"
"949964","63","MISDEMEANOR"
"949964","14","VIOLATION"
"934367","2","INFRACTION"
"934367","148","FELONY"
"934367","297","MISDEMEANOR"
"934367","3","VIOLATION"
"952382","27","FELONY"
"952382","106","MISDEMEANOR"
"969452","5","FELONY"
"969452","18","MISDEMEANOR"
"963835","6","FELONY"
"963835","23","MISDEMEANOR"
"972495","2","FELONY"
"972495","5","MISDEMEANOR"
"966923","9","FELONY"
"966923","21","MISDEMEANOR"
"970368","2","FELONY"
"970368","8","MISDEMEANOR"
"954460","35","FELONY"
"954460","135","MISDEMEANOR"
"954460","38","VIOLATION"
"955705","1","INFRACTION"
"955705","4","FELONY"
"955705","36","MISDEMEANOR"
"955705","3","VIOLATION"
"921104","1","INFRACTION"
"921104","76","FELONY"
"921104","236","MISDEMEANOR"
"921104","13","VIOLATION"
"952383","2","INFRACTION"
"952383","38","FELONY"
"952383","73","MISDEMEANOR"
"952383","6","VIOLATION"
"960128","49","FELONY"
"960128","76","MISDEMEANOR"
"960128","1","OTHER"
"960128","1","VIOLATION"
"943037","1","INFRACTION"
"943037","22","FELONY"
"943037","65","MISDEMEANOR"
"943037","1","OTHER"
"943037","3","VIOLATION"
"941312","1","INFRACTION"
"941312","5","FELONY"
"941312","28","MISDEMEANOR"
"941312","3","VIOLATION"
"927886","9","FELONY"
"927886","96","MISDEMEANOR"
"927886","7","VIOLATION"
"956368",NA,NA
"964357","5","FELONY"
"964357","18","MISDEMEANOR"
"954461","43","FELONY"
"954461","105","MISDEMEANOR"
"954461","8","VIOLATION"
"941313","28","FELONY"
"941313","251","MISDEMEANOR"
"941313","1","VIOLATION"
"948140","3","INFRACTION"
"948140","21","FELONY"
"948140","84","MISDEMEANOR"
"948140","2","VIOLATION"
"964358","3","FELONY"
"964358","8","MISDEMEANOR"
"953616","2","INFRACTION"
"953616","20","FELONY"
"953616","114","MISDEMEANOR"
"953616","49","VIOLATION"
"973200",NA,NA
"966924","1","INFRACTION"
"966924","17","FELONY"
"966924","34","MISDEMEANOR"
"966924","2","VIOLATION"
"934368","16","FELONY"
"934368","180","MISDEMEANOR"
"934368","1","OTHER"
"934368","5","VIOLATION"
"960129","1","FELONY"
"960129","31","MISDEMEANOR"
"929589","6","INFRACTION"
"929589","48","FELONY"
"929589","546","MISDEMEANOR"
"929589","36","VIOLATION"
"969453","11","FELONY"
"969453","9","MISDEMEANOR"
"923946","30","FELONY"
"923946","36","MISDEMEANOR"
"923946","2","VIOLATION"
"933593","10","FELONY"
"933593","45","MISDEMEANOR"
"933593","5","VIOLATION"
"955706","2","INFRACTION"
"955706","95","FELONY"
"955706","80","MISDEMEANOR"
"955706","3","VIOLATION"
"958214","83","FELONY"
"958214","59","MISDEMEANOR"
"958214","8","VIOLATION"
"968916","1","INFRACTION"
"968916","4","FELONY"
"968916","14","MISDEMEANOR"
"961485","4","FELONY"
"961485","6","MISDEMEANOR"
"936668","2","INFRACTION"
"936668","110","FELONY"
"936668","246","MISDEMEANOR"
"936668","8","VIOLATION"
"939842","1","INFRACTION"
"939842","208","FELONY"
"939842","205","MISDEMEANOR"
"939842","1","OTHER"
"939842","8","VIOLATION"
"941315","1","INFRACTION"
"941315","243","FELONY"
"941315","337","MISDEMEANOR"
"948590","19","FELONY"
"948590","84","MISDEMEANOR"
"948590","3","VIOLATION"
"959437","11","FELONY"
"959437","18","MISDEMEANOR"
"959437","1","VIOLATION"
"965919","10","FELONY"
"965919","18","MISDEMEANOR"
"963356","6","FELONY"
"963356","16","MISDEMEANOR"
"964862","8","FELONY"
"964862","32","MISDEMEANOR"
"941328","1","INFRACTION"
"941328","2","FELONY"
"941328","35","MISDEMEANOR"
"941328","6","VIOLATION"
"959438","1","INFRACTION"
"959438","25","FELONY"
"959438","49","MISDEMEANOR"
"956370","2","INFRACTION"
"956370","5","FELONY"
"956370","40","MISDEMEANOR"
"956370","1","VIOLATION"
"966925","2","FELONY"
"966925","10","MISDEMEANOR"
"967406","10","FELONY"
"967406","15","MISDEMEANOR"
"898880","2","INFRACTION"
"898880","203","FELONY"
"898880","118","MISDEMEANOR"
"898880","8","VIOLATION"
"929591","1","INFRACTION"
"929591","188","FELONY"
"929591","92","MISDEMEANOR"
"929591","1","VIOLATION"
"959439","4","FELONY"
"959439","33","MISDEMEANOR"
"959439","1","VIOLATION"
"921895","1","INFRACTION"
"921895","14","FELONY"
"921895","90","MISDEMEANOR"
"921895","17","VIOLATION"
"932238","1","INFRACTION"
"932238","21","FELONY"
"932238","201","MISDEMEANOR"
"932238","1","OTHER"
"932238","2","VIOLATION"
"919974","48","FELONY"
"919974","180","MISDEMEANOR"
"919974","12","VIOLATION"
"937942","1","INFRACTION"
"937942","105","FELONY"
"937942","400","MISDEMEANOR"
"937942","38","VIOLATION"
"937943","54","FELONY"
"937943","81","MISDEMEANOR"
"937943","6","VIOLATION"
"969454","3","FELONY"
"969454","12","MISDEMEANOR"
"969454","1","VIOLATION"
"964359","7","FELONY"
"964359","13","MISDEMEANOR"
"937946","3","FELONY"
"937946","24","MISDEMEANOR"
"937946","2","VIOLATION"
"964863","2","FELONY"
"964863","10","MISDEMEANOR"
"964863","1","VIOLATION"
"949966","6","FELONY"
"949966","70","MISDEMEANOR"
