"taxnum","date","charge_count","allegation_count"
"970971",NA,NA,NA
"942934",NA,NA,NA
"936579",NA,NA,NA
"958228",NA,NA,NA
"936109",NA,NA,NA
"963736",NA,NA,NA
"961606",NA,NA,NA
"939851",NA,NA,NA
"967744",NA,NA,NA
"965922",NA,NA,NA
"966932",NA,NA,NA
"963843",NA,NA,NA
"968217",NA,NA,NA
"939852",NA,NA,NA
"960141",NA,NA,NA
"971793",NA,NA,NA
"940952",NA,NA,NA
"948597",NA,NA,NA
"957320",NA,NA,NA
"956376",NA,NA,NA
"948598",NA,NA,NA
"969470",NA,NA,NA
"954471","9/22/2021","2",NA
"949979",NA,NA,NA
"940929",NA,NA,NA
"910972",NA,NA,NA
"951485",NA,NA,NA
"918680",NA,NA,NA
"931844",NA,NA,NA
"953624",NA,NA,NA
"964366",NA,NA,NA
"961607",NA,NA,NA
"970972",NA,NA,NA
"969471",NA,NA,NA
"971307",NA,NA,NA
"962209",NA,NA,NA
"945463",NA,NA,NA
"937955",NA,NA,NA
"970378",NA,NA,NA
"927837",NA,NA,NA
"952390","12/14/2020","2",NA
"973206",NA,NA,NA
"947967",NA,NA,NA
"937954",NA,NA,NA
"932242",NA,NA,NA
"967415","6/8/2022",NA,"1"
"953625",NA,NA,NA
"926486",NA,NA,NA
"971308",NA,NA,NA
"937956",NA,NA,NA
"961608",NA,NA,NA
"968218",NA,NA,NA
"940924","2/16/2017","2",NA
"940924","7/19/2017","2",NA
"940924","8/13/2021","1",NA
"949981",NA,NA,NA
"921908",NA,NA,NA
"953626",NA,NA,NA
"964870",NA,NA,NA
"918681",NA,NA,NA
"969472",NA,NA,NA
"968926",NA,NA,NA
"937957",NA,NA,NA
"971794",NA,NA,NA
"971309",NA,NA,NA
"954472","12/12/2018","2",NA
"881600",NA,NA,NA
"968927",NA,NA,NA
"912873",NA,NA,NA
"931516",NA,NA,NA
"949982",NA,NA,NA
"960144",NA,NA,NA
"963360",NA,NA,NA
"929599",NA,NA,NA
"939853",NA,NA,NA
"929600",NA,NA,NA
"970379",NA,NA,NA
"936113",NA,NA,NA
"949983","11/16/2015","2",NA
"924874",NA,NA,NA
"941330",NA,NA,NA
"957618",NA,NA,NA
"942935",NA,NA,NA
"948599",NA,NA,NA
"939773","4/20/2010","1",NA
"937958","8/20/2021","3",NA
"937958","5/7/2022",NA,"1"
"954473",NA,NA,NA
"960145",NA,NA,NA
"949984",NA,NA,NA
"958230",NA,NA,NA
"927840",NA,NA,NA
"968928",NA,NA,NA
"927841",NA,NA,NA
"958231",NA,NA,NA
"955972",NA,NA,NA
"953627",NA,NA,NA
"941260",NA,NA,NA
"937960",NA,NA,NA
"953628",NA,NA,NA
"913912",NA,NA,NA
"942936",NA,NA,NA
"921113",NA,NA,NA
"937856","12/27/2016","4",NA
"951488",NA,NA,NA
"959450",NA,NA,NA
"926489",NA,NA,NA
"924876",NA,NA,NA
"941331",NA,NA,NA
"942937",NA,NA,NA
"936114",NA,NA,NA
"970969",NA,NA,NA
"971796",NA,NA,NA
"932789",NA,NA,NA
"957625",NA,NA,NA
"898892",NA,NA,NA
"966424",NA,NA,NA
"946729",NA,NA,NA
"954475",NA,NA,NA
"921911",NA,NA,NA
"959451",NA,NA,NA
"937962",NA,NA,NA
"942938",NA,NA,NA
"958232",NA,NA,NA
"903058",NA,NA,NA
"948286",NA,NA,NA
"944311",NA,NA,NA
"957322",NA,NA,NA
"968219",NA,NA,NA
"932244",NA,NA,NA
"963361",NA,NA,NA
"936064",NA,NA,NA
"964367",NA,NA,NA
"964368",NA,NA,NA
"942939",NA,NA,NA
"964369",NA,NA,NA
"960108",NA,NA,NA
"952393",NA,NA,NA
"947968",NA,NA,NA
"944312","11/1/2018","3",NA
"952394",NA,NA,NA
"929603",NA,NA,NA
"933350",NA,NA,NA
"940953",NA,NA,NA
"972502",NA,NA,NA
"936116","2/16/2015","1",NA
"960146","3/29/2019","3",NA
"939854",NA,NA,NA
"970381",NA,NA,NA
"963362",NA,NA,NA
"973207",NA,NA,NA
"957324",NA,NA,NA
"957325",NA,NA,NA
"970382",NA,NA,NA
"973208",NA,NA,NA
"960147","6/23/2022","1",NA
"944314","12/3/2014","10",NA
"960148",NA,NA,NA
"973209",NA,NA,NA
"960149",NA,NA,NA
"963363",NA,NA,NA
"927846",NA,NA,NA
"964871",NA,NA,NA
"949986",NA,NA,NA
"942801",NA,NA,NA
"941332",NA,NA,NA
"946731","2/3/2017","2",NA
"948601",NA,NA,NA
"964370",NA,NA,NA
"917217",NA,NA,NA
"965650",NA,NA,NA
"963844",NA,NA,NA
"931518",NA,NA,NA
"946798",NA,NA,NA
"964872",NA,NA,NA
"965714",NA,NA,NA
"942940",NA,NA,NA
"960139",NA,NA,NA
"939855",NA,NA,NA
"941333",NA,NA,NA
"963845",NA,NA,NA
"952395",NA,NA,NA
"944970",NA,NA,NA
"936117",NA,NA,NA
"959452",NA,NA,NA
"956377",NA,NA,NA
"956378",NA,NA,NA
"905674",NA,NA,NA
"941334",NA,NA,NA
"954476",NA,NA,NA
"919986",NA,NA,NA
"957326",NA,NA,NA
"952396",NA,NA,NA
"944315",NA,NA,NA
"951489",NA,NA,NA
"948603","6/13/2022",NA,"1"
"945010",NA,NA,NA
"936118",NA,NA,NA
"971310",NA,NA,NA
"939856",NA,NA,NA
"960150",NA,NA,NA
"952397",NA,NA,NA
"949988",NA,NA,NA
"954477",NA,NA,NA
"967745",NA,NA,NA
"961609",NA,NA,NA
"951490",NA,NA,NA
"929605",NA,NA,NA
"973210",NA,NA,NA
"973211",NA,NA,NA
"944981",NA,NA,NA
"944316",NA,NA,NA
"933789","7/11/2017","2",NA
"951491",NA,NA,NA
"936119",NA,NA,NA
"934381",NA,NA,NA
"961610",NA,NA,NA
"972476",NA,NA,NA
"958233",NA,NA,NA
"965923",NA,NA,NA
"971798",NA,NA,NA
"952398",NA,NA,NA
"944317",NA,NA,NA
"963365",NA,NA,NA
"959453",NA,NA,NA
"942941",NA,NA,NA
"939857",NA,NA,NA
"929832",NA,NA,NA
"945467",NA,NA,NA
"937966",NA,NA,NA
"936120",NA,NA,NA
"929500",NA,NA,NA
"933601",NA,NA,NA
"931457",NA,NA,NA
"944517",NA,NA,NA
"972503",NA,NA,NA
"945468",NA,NA,NA
"960151",NA,NA,NA
"932246",NA,NA,NA
"946732",NA,NA,NA
"966933",NA,NA,NA
"968222",NA,NA,NA
"937967",NA,NA,NA
"951492",NA,NA,NA
"948800","3/29/2022",NA,"1"
"971799",NA,NA,NA
"919990",NA,NA,NA
"962856",NA,NA,NA
"969473",NA,NA,NA
"948606","6/7/2018","3",NA
"932436",NA,NA,NA
"926494",NA,NA,NA
"934383",NA,NA,NA
"944318",NA,NA,NA
"960586",NA,NA,NA
"971312",NA,NA,NA
"948607",NA,NA,NA
"917033",NA,NA,NA
"929608",NA,NA,NA
"962211",NA,NA,NA
"961488",NA,NA,NA
"948609",NA,NA,NA
"961754",NA,NA,NA
"955709",NA,NA,NA
"968223",NA,NA,NA
"972504",NA,NA,NA
"972505",NA,NA,NA
"949989","12/13/2018","2",NA
"964873",NA,NA,NA
"953629",NA,NA,NA
"929609","3/21/2018","1",NA
"949990",NA,NA,NA
"939860",NA,NA,NA
"934384",NA,NA,NA
"969474",NA,NA,NA
"936122",NA,NA,NA
"946733",NA,NA,NA
"968925",NA,NA,NA
"957328",NA,NA,NA
"956380",NA,NA,NA
"973212",NA,NA,NA
"956381",NA,NA,NA
"956461",NA,NA,NA
