"taxnum","date","shield_num","title"
958216,"07/08/15",18821,"POLICE OFFICER"
960130,"01/06/16",11843,"POLICE OFFICER"
946436,"01/07/08",25467,"POLICE OFFICER"
934370,"07/01/04",10717,"POLICE OFFICER"
934370,"09/28/15",1246,"SERGEANT"
965920,"07/02/18",12522,"POLICE OFFICER"
968918,"01/06/20",24176,"POLICE OFFICER"
959441,"10/07/15",21566,"POLICE OFFICER"
943995,"01/10/07",27729,"POLICE OFFICER"
943995,"02/09/22",1056,"SERGEANT"
931452,"07/01/02",19603,"POLICE OFFICER"
958218,"07/08/15",20659,"POLICE OFFICER"
961594,"07/13/16",3567,"POLICE OFFICER"
936098,"01/10/05",27349,"POLICE OFFICER"
936098,"03/30/12",343,"SERGEANT"
929653,"07/01/02",23855,"POLICE OFFICER"
929653,"06/25/14",2263,"SERGEANT"
954463,"07/09/13",13919,"POLICE OFFICER"
962199,"10/11/16",20033,"POLICE OFFICER"
966418,"10/24/18",18910,"POLICE OFFICER"
949968,"07/06/11",9722,"POLICE OFFICER"
962200,"10/11/16",20407,"POLICE OFFICER"
949969,"07/06/11",17856,"POLICE OFFICER"
952384,"12/21/21",4814,"DETECTIVE"
952384,"07/11/12",12229,"POLICE OFFICER"
952385,"07/11/12",142,"POLICE OFFICER"
952385,"09/10/12",4290,"POLICE OFFICER"
970369,"12/29/20",1103,"POLICE OFFICER"
969455,"11/02/20",10881,"POLICE OFFICER"
961595,"07/13/16",6527,"POLICE OFFICER"
953619,"01/09/13",6578,"POLICE OFFICER"
941316,"07/10/06",18853,"POLICE OFFICER"
947703,"06/28/19",4418,"DETECTIVE"
947703,"07/08/08",9475,"POLICE OFFICER"
947703,"03/18/21",154,"SERGEANT"
941317,"07/10/06",8923,"POLICE OFFICER"
941317,"06/29/12",3869,"SERGEANT"
955072,"07/09/13",8492,"POLICE OFFICER"
969456,"11/02/20",10013,"POLICE OFFICER"
933594,"06/10/21",2083,"DETECTIVE"
933594,"01/20/04",7661,"POLICE OFFICER"
948592,"07/06/10",4668,"POLICE OFFICER"
957315,"06/10/21",2094,"DETECTIVE"
957315,"01/07/15",9595,"POLICE OFFICER"
949971,"07/27/18",1621,"DETECTIVE"
949971,"07/06/11",2844,"POLICE OFFICER"
934818,"07/01/04",11808,"POLICE OFFICER"
934818,"09/29/14",4544,"SERGEANT"
889483,"03/01/13",100,"DETECTIVE"
889483,"01/01/90",24904,"POLICE OFFICER"
958220,"07/08/15",20663,"POLICE OFFICER"
952386,"11/20/18",1084,"DETECTIVE"
952386,"07/11/12",25108,"POLICE OFFICER"
970965,"02/24/21",24573,"POLICE OFFICER"
969457,"11/02/20",16706,"POLICE OFFICER"
968919,"01/06/20",25196,"POLICE OFFICER"
947964,"01/14/09",8054,"POLICE OFFICER"
941318,"03/27/15",5183,"DETECTIVE"
941318,"07/10/06",3082,"POLICE OFFICER"
954464,"07/09/13",601,"POLICE OFFICER"
944306,"07/09/07",4835,"POLICE OFFICER"
961596,"07/13/16",13992,"POLICE OFFICER"
944936,"11/03/14",769,"DETECTIVE"
944936,"07/09/07",21364,"POLICE OFFICER"
934371,"11/20/18",NA,"LIEUTENANT"
934371,"07/01/04",319,"POLICE OFFICER"
934371,"03/28/13",325,"SERGEANT"
937949,"04/28/17",3000,"DETECTIVE"
937949,"07/11/05",25456,"POLICE OFFICER"
961597,"07/13/16",471,"POLICE OFFICER"
937950,"12/23/13",1522,"DETECTIVE"
937950,"07/11/05",5789,"POLICE OFFICER"
966926,"01/03/19",25454,"POLICE OFFICER"
954465,"07/09/13",10010,"POLICE OFFICER"
954465,"10/30/19",1070,"SERGEANT"
971786,"07/07/21",21177,"POLICE OFFICER"
962912,"01/04/17",23562,"POLICE OFFICER"
